SMILES,pIC50,mol,num_atoms,logP,predicted_pIC50,predicted_logP
CN1CCN(c2cccc(Nc3nc4c(NCc5ccccc5F)cccn4n3)c2)CC1,6.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941930>,32,3.975900000000002,6.8094821850126515,3.756925722699175
N#CC1CC(NCCC(F)(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(S(=O)(=O)C(F)(F)F)cc2)n1,7.09,<rdkit.Chem.rdchem.Mol object at 0x7f59a2947840>,37,3.794480000000002,6.45403807744305,4.005952530170831
Cc1cccc(Nc2sc(-c3cccc(F)c3F)cc2C(N)=O)n1,7.1,<rdkit.Chem.rdchem.Mol object at 0x7f59a2947990>,24,4.239220000000002,6.520992776771977,2.6392043100488034
C=CC(=O)Nc1cccc(CNc2nc(Nc3cnn(C)c3)ncc2Cl)c1,6.97,<rdkit.Chem.rdchem.Mol object at 0x7f59a2945690>,27,3.343700000000001,6.408927985286353,2.8777282111957425
CN1CCN(c2ccc(Nc3nc4c(Nc5cccc(S(C)(=O)=O)c5)cccn4n3)cc2)CC1,6.49,<rdkit.Chem.rdchem.Mol object at 0x7f59a293e880>,34,3.371800000000002,6.777268036261132,3.589284657198366
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)c(F)c3)n2)C(C#N)C1)C1CC1,7.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2945e70>,31,4.139580000000002,6.718195414101341,3.1332065946810648
NC1CCCCC1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc(-n3nccn3)c2)n1,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a29447b0>,31,2.3242000000000003,6.718195414101341,3.1332065946810648
CS(=O)(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,6.72,<rdkit.Chem.rdchem.Mol object at 0x7f59a29415b0>,23,0.4977000000000005,6.409231753566496,2.313524372864757
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1CCc2nc(Nc3ccc(S(=O)(=O)NC4CC4)cc3)ncc2C1,7.27,<rdkit.Chem.rdchem.Mol object at 0x7f59a294ae30>,44,5.803120000000004,6.163652857142857,4.943121094285718
Cc1ccc(-c2nc3cc(C(N)=O)ccc3n2CCN)cc1,5.58,<rdkit.Chem.rdchem.Mol object at 0x7f59a31def10>,22,2.0693200000000003,6.215740248700939,2.3153974812625266
Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1N1CCc2nc(Nc3ccc(CC(=O)N4CCN(C)CC4)cc3)ncc2C1=O,7.21,<rdkit.Chem.rdchem.Mol object at 0x7f59a2949930>,48,5.319120000000004,6.853910000000006,5.099047080000005
CC(=O)Nc1ccc(-c2nc(Nc3ccc(N4CCOCC4)cc3)ncc2F)cc1,5.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ea40>,30,3.8213000000000026,6.714130239139373,3.2103147269049224
CN(C)C(=O)CN1CCc2ccc(Nc3nc4c(-c5cc(Cl)ccc5OCC(F)F)cccn4n3)cc2CC1,6.94,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944c10>,39,4.926000000000003,6.562848132670848,4.635426014385055
CC1(C)CN(C2CCC(n3cc(C(N)=O)c(Nc4ccccc4)n3)C(C#N)C2)C1,7.4,<rdkit.Chem.rdchem.Mol object at 0x7f59a294e0a0>,29,3.3007800000000023,6.46675862735859,2.9800680599646205
FC(F)(F)c1cccc(-c2cccn3nc(Nc4ccc5c(c4)CCNCC5)nc23)c1,7.37,<rdkit.Chem.rdchem.Mol object at 0x7f59a294d150>,31,4.846900000000004,6.718195414101341,3.1332065946810648
COC(C)(C)CNC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1,7.32,<rdkit.Chem.rdchem.Mol object at 0x7f59a294c040>,31,3.626980000000001,6.718195414101341,3.1332065946810648
COc1ncccc1-c1cccn2nc(Nc3ccc(C4CCN(C(=O)OC(C)(C)C)CC4)cc3)nc12,6.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a293aea0>,37,5.658000000000005,6.45403807744305,4.005952530170831
CC(C)(C)OC(=O)C1CCC(C#N)C(n2cc(C(N)=O)c(Nc3ccccc3)n2)C1,7.3,<rdkit.Chem.rdchem.Mol object at 0x7f59a294b8b0>,30,3.548280000000001,6.714130239139373,3.2103147269049224
[C-]#[N+]C1=CCCC(OCC2CC2)C1,7.13,<rdkit.Chem.rdchem.Mol object at 0x7f59a2948350>,13,2.768690000000001,5.960847853535363,1.894700706476856
CC(C)NC(=O)c1cnn2ccc(N3CC(O)CC3c3cccc(F)c3)nc12,6.26,<rdkit.Chem.rdchem.Mol object at 0x7f59a293c040>,28,2.3189,6.5689898881160165,3.2750036184625952
N#CC1CC(OC(=O)NC2CCCCC2)CCC1n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,6.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942570>,34,4.156980000000003,6.777268036261132,3.589284657198366
O=C(CCCCCCCC(=O)N1CC=CCCOc2cccc(c2)-c2ccnc(n2)Nc2cccc(c2)C1)NO,5.83,<rdkit.Chem.rdchem.Mol object at 0x7f59a2938040>,40,5.790600000000004,6.53741857253857,5.582855823804339
CC(C)CNC1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)C(C#N)C1,6.38,<rdkit.Chem.rdchem.Mol object at 0x7f59a293d700>,32,4.223380000000002,6.8094821850126515,3.756925722699175
CN(c1[nH]cnc2nccc1-2)C1CC(NS(=O)(=O)C2CC(F)(F)C2)C1,6.75,<rdkit.Chem.rdchem.Mol object at 0x7f59a2941bd0>,25,1.5938,6.490664711370073,3.3097471871375217
Oc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,5.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a2939000>,24,4.450400000000003,6.520992776771977,2.6392043100488034
O=c1[nH]cnc2cc(NC3CCCNC3)nc(Nc3cccc4cc[nH]c34)c12,6.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a2939af0>,28,2.7069,6.5689898881160165,3.2750036184625952
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOCC1,5.49,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f530>,25,1.81,6.490664711370073,3.3097471871375217
CN1CCC(c2ccc(Nc3nc4c(NCc5ccccc5N(C)S(C)(=O)=O)cccn4n3)cc2)CC1,7.42,<rdkit.Chem.rdchem.Mol object at 0x7f59a294e650>,37,4.290000000000004,6.45403807744305,4.005952530170831
CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCCC(O)(COc3cccc(F)c3)C2)CC1,7.33,<rdkit.Chem.rdchem.Mol object at 0x7f59a294c190>,37,3.279300000000001,6.45403807744305,4.005952530170831
CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCC(C)(O)CC2)CC1,7.38,<rdkit.Chem.rdchem.Mol object at 0x7f59a294d540>,29,2.0810999999999997,6.46675862735859,2.9800680599646205
CC(C)(C)OC(=O)C1CCC(n2cc(C(N)=O)c(Nc3ccc(F)cc3)n2)C(C#N)C1,6.33,<rdkit.Chem.rdchem.Mol object at 0x7f59a293cc10>,31,3.687380000000002,6.718195414101341,3.1332065946810648
CN1CCN(c2cccc(Nc3nc4c(-c5ccccc5S(C)(=O)=O)cccn4n3)c2)CC1,5.6,<rdkit.Chem.rdchem.Mol object at 0x7f59a31df060>,33,3.295200000000002,6.543927490198173,3.6907017720889534
CCOC(=O)c1c[nH]c2ncnc(-c3ccc(-n4cccn4)cc3)c12,6.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a2944580>,25,2.987300000000001,6.490664711370073,3.3097471871375217
N#CC1CN(C(=O)C(NC(=O)c2c[nH]c3ncc(C4CC4)nc23)C2CC2)C1,6.69,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940f90>,27,1.3256799999999993,6.408927985286353,2.8777282111957425
CC(Nc1cccn2nc(Nc3ccc(N4CCN(C)CC4)cc3)nc12)c1ccccc1N(C)S(C)(=O)=O,6.38,<rdkit.Chem.rdchem.Mol object at 0x7f59a293d690>,38,3.793600000000003,6.802448270812896,4.282908193901362
CN1CCC(c2cccc(Nc3nc4c(-c5ccccc5N(C)S(C)(=O)=O)cccn4n3)c2)CC1,5.92,<rdkit.Chem.rdchem.Mol object at 0x7f59a2938ac0>,35,4.344900000000003,6.565259498966696,3.7339714194295577
COC1CCN(c2nccc(Nc3cc4nc(-c5cn[nH]c5)cc-4c[nH]3)n2)CC1,7.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a2946260>,29,3.053400000000001,6.46675862735859,2.9800680599646205
CS(=O)(=O)N1CCC(n2c(=O)[nH]c3cnc4[nH]ccc4c32)CC1,6.85,<rdkit.Chem.rdchem.Mol object at 0x7f59a29434c0>,23,0.8024000000000003,6.409231753566496,2.313524372864757
CCOC(=O)c1c[nH]c2ncnc(-c3ccc(-c4ccccc4)cc3)c12,7.33,<rdkit.Chem.rdchem.Mol object at 0x7f59a294c120>,26,4.468600000000003,6.22747400222193,3.0384421238001296
COc1cccc(NC(=O)c2cnc(N3CCN(c4ccccc4OC)CC3)c([N+](=O)[O-])c2)c1,5.02,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e2d0>,34,3.5859000000000023,6.777268036261132,3.589284657198366
CN(C)C(=O)CN1CCc2ccc(Nc3nc4c(-c5cc(F)ccc5OCC(F)F)cccn4n3)cc2CC1,6.28,<rdkit.Chem.rdchem.Mol object at 0x7f59a293c430>,39,4.411700000000002,6.562848132670848,4.635426014385055
O=C1NC(=O)C(c2cn(CCCn3ccnc3)c3ccccc23)=C1Nc1ccccc1,5.42,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f300>,31,3.407700000000001,6.718195414101341,3.1332065946810648
CC1CC(C)N1C1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)C(C#N)C1,6.24,<rdkit.Chem.rdchem.Mol object at 0x7f59a293bca0>,33,4.460480000000003,6.543927490198173,3.6907017720889534
N#CC1CC(N2CCC2)CCC1n1cc(C(N)=O)c(Nc2ccc(OC(F)(F)F)cc2)n1,7.4,<rdkit.Chem.rdchem.Mol object at 0x7f59a294e110>,32,3.5632800000000016,6.8094821850126515,3.756925722699175
O=C1Nc2ccc(-c3cccnc3)cc2C1=Cc1ccc[nH]1,6.22,<rdkit.Chem.rdchem.Mol object at 0x7f59a293b6f0>,22,3.5694000000000017,6.215740248700939,2.3153974812625266
COc1ccc2nc(NC(C)c3ncc(F)cn3)nc(Nc3cn(C)cn3)c2c1,6.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a293ad50>,29,3.2177000000000016,6.46675862735859,2.9800680599646205
CCC(C)NC(=O)c1c[nH]c2ncc(C3CC3)nc12,7.35,<rdkit.Chem.rdchem.Mol object at 0x7f59a294cb30>,19,2.3636,6.167285566378067,1.3237209439227442
NS(=O)(=O)c1cccc(Nc2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)c1,6.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943c30>,30,2.4478,6.714130239139373,3.2103147269049224
CC1(N)CCC(Nc2c(C(N)=O)cnn3cccc23)C1(C)C,6.55,<rdkit.Chem.rdchem.Mol object at 0x7f59a293f4c0>,22,1.7511000000000003,6.215740248700939,2.3153974812625266
N#CC1CC(C(=O)NC(C2CC2)C(F)(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(Cl)cc2)n1,7.24,<rdkit.Chem.rdchem.Mol object at 0x7f59a294a490>,35,4.3170800000000025,6.565259498966696,3.7339714194295577
N#CC1CC(NC(C2CC2)C(F)(F)F)CCC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,6.82,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942ea0>,36,4.908280000000003,6.5167904144568585,4.096294022711462
CC(Nc1nc2nncc-2c(Nc2cn(C)cn2)[nH]1)c1ncc(F)cn1,7.3,<rdkit.Chem.rdchem.Mol object at 0x7f59a294b6f0>,26,1.8838,6.22747400222193,3.0384421238001296
C=CC(=O)Nc1cccc(-c2ncnc3[nH]cc(C(=O)OCC)c23)c1,6.1,<rdkit.Chem.rdchem.Mol object at 0x7f59a293a650>,25,2.926100000000001,6.490664711370073,3.3097471871375217
N#Cc1ccc(Nc2sc(-c3ccccc3)cc2C(N)=O)nc1,6.84,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943220>,23,3.5242800000000027,6.409231753566496,2.313524372864757
COc1ccc(F)c(-c2nc3[nH]cc(Cl)c(NCC4CCNCC4)c-3n2)c1,4.88,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d310>,27,3.789100000000002,6.408927985286353,2.8777282111957425
O=C1Nc2ccc3c(oc4ccccc43)c2C1=NNc1ccncc1,4.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a320d620>,25,3.7493000000000007,6.490664711370073,3.3097471871375217
N#CC1CCCCC1n1cc(C(N)=O)c(Nc2ccnc(C(F)(F)F)c2)n1,6.91,<rdkit.Chem.rdchem.Mol object at 0x7f59a29443c0>,27,3.394280000000001,6.408927985286353,2.8777282111957425
NCCCn1c(-c2ccccc2)nc2cc(C(N)=O)ccc21,4.69,<rdkit.Chem.rdchem.Mol object at 0x7f59a320cd60>,22,2.151,6.215740248700939,2.3153974812625266
COc1cccc(CNc2cccn3nc(Nc4ccc(C)nc4)nc23)c1,5.99,<rdkit.Chem.rdchem.Mol object at 0x7f59a29394d0>,27,3.7970200000000016,6.408927985286353,2.8777282111957425
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(S(=O)(=O)C(F)(F)F)cc3)n2)C(C#N)C1)C1CC1,7.21,<rdkit.Chem.rdchem.Mol object at 0x7f59a2949d20>,36,3.6405800000000026,6.5167904144568585,4.096294022711462
NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cccc(Cl)c1,6.21,<rdkit.Chem.rdchem.Mol object at 0x7f59a293b5a0>,22,2.4732000000000003,6.215740248700939,2.3153974812625266
COc1ccc(CNc2cccn3nc(Nc4cccc(N5CCN(C)CC5)c4)nc23)cc1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e0a0>,33,3.8454000000000015,6.543927490198173,3.6907017720889534
COCC(C)(C)NC1CCC(n2cc(C(N)=O)c(Nc3ccccc3)n2)C(C#N)C1,6.77,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942260>,30,2.97358,6.714130239139373,3.2103147269049224
OCc1ccc(C2Nc3ccccc3-c3ccnc4[nH]cc2c34)cc1,5.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a2938f90>,25,4.2371000000000025,6.490664711370073,3.3097471871375217
CC1(C)C(O)CCC1Nc1c(C(N)=O)cnn2cccc12,6.89,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943d80>,21,1.3945999999999994,6.318370697965677,2.2557034740938287
Cc1cccc(Nc2sc(-c3ccccc3Cl)cc2C(N)=O)n1,7.03,<rdkit.Chem.rdchem.Mol object at 0x7f59a2946490>,23,4.614420000000003,6.409231753566496,2.313524372864757
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(C(F)(F)F)cc3)n2)C(C#N)C1)C1CC1,6.98,<rdkit.Chem.rdchem.Mol object at 0x7f59a2945770>,33,4.365880000000002,6.543927490198173,3.6907017720889534
N#CC1CC(N2CCC2)CCC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,7.29,<rdkit.Chem.rdchem.Mol object at 0x7f59a294b140>,31,3.683480000000001,6.718195414101341,3.1332065946810648
Fc1cccc(C2CCCN2c2ccc3ncc(-c4ccccn4)n3n2)c1,5.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e7a0>,27,4.271900000000003,6.408927985286353,2.8777282111957425
CCOC(=O)c1c[nH]c2ncnc(-c3ccccc3F)c12,6.78,<rdkit.Chem.rdchem.Mol object at 0x7f59a29422d0>,21,2.9407000000000005,6.318370697965677,2.2557034740938287
Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(=O)N(C)C,5.51,<rdkit.Chem.rdchem.Mol object at 0x7f59a320f7d0>,25,3.384520000000002,6.490664711370073,3.3097471871375217
CCOc1ccccc1-c1cccn2nc(Nc3ccc4c(c3)CCN(CC(=O)N(C)C)CC4)nc12,6.67,<rdkit.Chem.rdchem.Mol object at 0x7f59a2940cf0>,36,4.027400000000003,6.5167904144568585,4.096294022711462
CCOC(=O)c1c[nH]c2ncnc(-c3ccc(OC)cc3)c12,6.87,<rdkit.Chem.rdchem.Mol object at 0x7f59a2943760>,22,2.810200000000001,6.215740248700939,2.3153974812625266
N#CC1CCC(O)CC1n1cc(C(N)=O)c(Nc2ccccc2)n1,7.1,<rdkit.Chem.rdchem.Mol object at 0x7f59a2947a00>,24,1.95128,6.520992776771977,2.6392043100488034
Cn1cc(F)cc(C2CCCN2c2ccn3ncc(C(=O)NC4(C)CC4)c3n2)c1=O,6.21,<rdkit.Chem.rdchem.Mol object at 0x7f59a293b3e0>,30,2.1909,6.714130239139373,3.2103147269049224
CC(=O)N1CCC(Nc2c(C(N)=O)cnc3[nH]ccc23)CC1,6.19,<rdkit.Chem.rdchem.Mol object at 0x7f59a293b290>,22,1.0846,6.215740248700939,2.3153974812625266
CN(C)C1CCC(n2cc(C(N)=O)c(Nc3ccnc(F)c3)n2)C(C#N)C1,6.96,<rdkit.Chem.rdchem.Mol object at 0x7f59a2945310>,27,2.0546799999999994,6.408927985286353,2.8777282111957425
CNC(=O)c1cccc(-c2cccn3nc(Nc4ccccc4OC)nc23)c1,5.0,<rdkit.Chem.rdchem.Mol object at 0x7f59a320da10>,28,3.5081000000000016,6.5689898881160165,3.2750036184625952
COc1ccc(-c2cccc3nc(NC(=O)C4CC4)nn23)cc1,6.86,<rdkit.Chem.rdchem.Mol object at 0x7f59a29436f0>,23,2.7534,6.409231753566496,2.313524372864757
c1cncc(CNc2cccn3nc(Nc4ccc(OCCN5CCCC5)cc4)nc23)c1,6.24,<rdkit.Chem.rdchem.Mol object at 0x7f59a293ba70>,32,3.954600000000003,6.8094821850126515,3.756925722699175
CCOC(=O)c1c[nH]c2ncnc(-c3ccc4n[nH]cc4c3)c12,7.01,<rdkit.Chem.rdchem.Mol object at 0x7f59a2945ee0>,23,2.6779,6.409231753566496,2.313524372864757
CC1CC(C)CN(c2ccc(Nc3ncc(C(F)(F)F)c(-c4cc5ccc(C#N)cc5o4)n3)cc2)C1,5.15,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e5e0>,36,7.006180000000006,6.5167904144568585,4.096294022711462
Cc1ccccc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O,6.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a293ac70>,22,2.12822,6.215740248700939,2.3153974812625266
O=c1[nH]c2cnc(-n3cnc4ccccc43)nc2n1C1CCOc2c(F)cccc21,5.16,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e650>,30,2.969500000000002,6.714130239139373,3.2103147269049224
Nc1[nH]nc2c(-c3ccccn3)cn(-c3ccccc3Cl)c(=O)c12,6.26,<rdkit.Chem.rdchem.Mol object at 0x7f59a293bf40>,24,3.011400000000001,6.520992776771977,2.6392043100488034
COc1ccc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)c(F)c1,6.79,<rdkit.Chem.rdchem.Mol object at 0x7f59a2942500>,38,6.402100000000005,6.802448270812896,4.282908193901362
[C-]#[N+]C1CCCCC1n1cc(C(N)=O)c(Nc2ccccc2)n1,7.44,<rdkit.Chem.rdchem.Mol object at 0x7f59a294eb90>,23,3.128590000000001,6.409231753566496,2.313524372864757
CC(NC1CCC(n2cc(C(N)=O)c(Nc3ccc(Cl)cc3)n2)C(C#N)C1)C1CC1,7.07,<rdkit.Chem.rdchem.Mol object at 0x7f59a2946e30>,30,4.000480000000002,6.714130239139373,3.2103147269049224
CN(c1[nH]cnc2nccc1-2)C1CCC(CS(=O)(=O)N2CCCC(C#N)C2)CC1,7.12,<rdkit.Chem.rdchem.Mol object at 0x7f59a2947f40>,29,2.46988,6.46675862735859,2.9800680599646205
COc1cccc(-c2cccn3nc(Nc4ccc(C5CCN(C(=O)OC(C)(C)C)CC5)cc4)nc23)c1F,6.28,<rdkit.Chem.rdchem.Mol object at 0x7f59a293c3c0>,38,6.402100000000005,6.802448270812896,4.282908193901362
COc1cc(N2CCN(CC(C)O)CC2)ccc1Nc1ncc2ccc(-c3ccccc3N(C)S(C)(=O)=O)n2n1,6.42,<rdkit.Chem.rdchem.Mol object at 0x7f59a293dbd0>,40,3.0471000000000004,6.53741857253857,5.582855823804339
CC(C)(O)C1CC(CNC2CCC(n3cc(C(N)=O)c(Nc4ccc(C(F)(F)F)cc4)n3)C(C#N)C2)C1,6.58,<rdkit.Chem.rdchem.Mol object at 0x7f59a293fa00>,37,4.364480000000003,6.45403807744305,4.005952530170831
[C-]#[N+]C1CC(OC(C)=O)C(O)CC1n1cc(C(N)=O)c(Nc2ccc(C(F)(F)F)cc2)n1,6.74,<rdkit.Chem.rdchem.Mol object at 0x7f59a29419a0>,32,2.659790000000001,6.8094821850126515,3.756925722699175
Cc1ccc(Cl)cc1-c1nc(-c2ccnc(N)n2)c[nH]1,5.97,<rdkit.Chem.rdchem.Mol object at 0x7f59a2939380>,20,3.07772,6.722485370679991,2.3532730929995758
CN1CCN(c2cc(Oc3c(F)cccc3F)nc(-n3cnc4ccncc43)n2)CC1,7.17,<rdkit.Chem.rdchem.Mol object at 0x7f59a2948eb0>,31,3.032800000000001,6.718195414101341,3.1332065946810648
NC1COCCC1Nc1cc2nc[nH]c(=O)c2c(Nc2cccc3cc[nH]c23)n1,6.54,<rdkit.Chem.rdchem.Mol object at 0x7f59a293f370>,29,2.0710999999999986,6.46675862735859,2.9800680599646205
CC1CCCN(S(=O)(=O)CC2CCC(N(C)c3[nH]cnc4nccc3-4)CC2)C1,7.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a29484a0>,28,2.9662000000000006,6.5689898881160165,3.2750036184625952
NCCn1c(-c2ccc(C(F)(F)F)cc2)nc2cc(C(N)=O)ccc21,5.32,<rdkit.Chem.rdchem.Mol object at 0x7f59a320ef80>,25,2.7797,6.490664711370073,3.3097471871375217
c1ccc2c(c1)CCCC2Nc1ccnc(-n2cnc3ccncc32)n1,5.14,<rdkit.Chem.rdchem.Mol object at 0x7f59a320e490>,26,3.700000000000001,6.22747400222193,3.0384421238001296
Cn1cc(-c2cc(Nc3nn(C4CCCCC4C#N)cc3C(N)=O)ccn2)cn1,7.22,<rdkit.Chem.rdchem.Mol object at 0x7f59a2949fc0>,29,2.775980000000001,6.46675862735859,2.9800680599646205
